"writeup_id","skill_name","importance"
"htb-usage","Web application fundamentals","medium"
"htb-usage","Linux fundamentals","medium"
"htb-usage","Command line proficiency","medium"
"htb-usage","Basic scripting knowledge","medium"
"oscp-corp-dcsync","Active Directory enumeration (CrackMapExec, ldapsearch)","medium"
"oscp-corp-dcsync","BloodHound graph analysis and Cypher queries","medium"
"oscp-corp-dcsync","Basic understanding of AD relationships (AdminTo, MemberOf, HasSession)","medium"
"oscp-corp-dcsync","Windows command-line navigation","medium"
"oscp-corp-dcsync","Tool installation and usage (Evil-WinRM, Mimikatz, impacket)","medium"
